year,sex,member,covered,age,age_group,race,hisp,educ,citizen,state,weight
2009,Female,TRUE,TRUE,43,25-54,White,Non-Hispanic,Some college,US native,AL,9852.3843
2009,Female,FALSE,FALSE,34,25-54,White,Non-Hispanic,Bachelor's degree,US native,AL,9922.1878
2009,Female,TRUE,TRUE,59,55 and over,White,Non-Hispanic,Associate degree,US native,AK,1372.5011
2009,Female,FALSE,FALSE,51,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,1402.7055
2009,Female,TRUE,TRUE,48,25-54,White,Non-Hispanic,Associate degree,US native,AK,1346.6818
2009,Female,TRUE,TRUE,48,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,1346.6818
2009,Female,FALSE,TRUE,46,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,1346.6818
2009,Female,FALSE,FALSE,51,25-54,White,Non-Hispanic,Associate degree,US native,AZ,14038.6
2009,Female,FALSE,FALSE,51,25-54,White,Non-Hispanic,Associate degree,US native,AZ,14038.6
2009,Female,FALSE,FALSE,45,25-54,White,Non-Hispanic,Graduate degree,US native,AZ,13822.275
2009,Female,TRUE,TRUE,37,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,8898.8727
2009,Female,FALSE,FALSE,35,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,8941.1001
2009,Female,TRUE,TRUE,70,55 and over,White,Hispanic,Associate degree,US native,CA,13221.3356
2009,Female,FALSE,TRUE,50,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",CA,10257.3265
2009,Female,FALSE,FALSE,56,55 and over,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,14087.8819
2009,Female,TRUE,TRUE,49,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",CA,10856.1138
2009,Female,FALSE,FALSE,61,55 and over,White,Non-Hispanic,Graduate degree,US native,CA,11045.4641
2009,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Associate degree,US native,CA,11045.1369
2009,Female,FALSE,FALSE,61,55 and over,White,Non-Hispanic,Bachelor's degree,US native,CA,11749.4221
2009,Female,TRUE,TRUE,53,25-54,White,Non-Hispanic,Associate degree,US native,CA,11718.9715
2009,Female,FALSE,FALSE,62,55 and over,White,Non-Hispanic,Graduate degree,US native,CA,11211.1046
2009,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Graduate degree,US native,CA,11164.8564
2009,Male,TRUE,TRUE,43,25-54,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,13350.7025
2009,Female,FALSE,FALSE,51,25-54,Black,Non-Hispanic,Graduate degree,US native,CA,8237.3765
2009,Female,TRUE,TRUE,33,25-54,White,Non-Hispanic,Bachelor's degree,US native,CA,12065.5715
2009,Female,FALSE,FALSE,57,55 and over,White,Non-Hispanic,Graduate degree,US native,CA,11716.6794
2009,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Bachelor's degree,US native,CA,11629.3288
2009,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Bachelor's degree,US native,CA,11164.8564
2009,Female,FALSE,FALSE,50,25-54,White,Non-Hispanic,Associate degree,US native,CA,11709.5267
2009,Female,FALSE,FALSE,49,25-54,White,Non-Hispanic,Associate degree,US native,CA,11210.2136
