hryear4,pesex,peernlab,peerncov,peage,ptdtrace,pehspnon,peeduca,prcitshp,gestfips,pworwgt,peio1ocd
2009,2,1,-1,43,1,2,40,1,01,98523843,3130
2009,2,2,2,34,1,2,43,1,01,99221878,3130
2009,2,1,-1,59,1,2,42,1,02,13725011,3130
2009,2,2,2,51,1,2,43,1,02,14027055,3130
2009,2,1,-1,48,1,2,42,1,02,13466818,3130
2009,2,1,-1,48,1,2,43,1,02,13466818,3130
2009,2,2,1,46,1,2,43,1,02,13466818,3130
2009,2,2,2,51,1,2,41,1,04,140386000,3130
2009,2,2,2,51,1,2,42,1,04,140386000,3130
2009,2,2,2,45,1,2,44,1,04,138222750,3130
2009,2,1,-1,37,1,2,43,1,05,88988727,3130
2009,2,2,2,35,1,2,43,1,05,89411001,3130
2009,2,1,-1,70,1,1,41,1,06,132213356,3130
2009,2,2,1,50,4,2,43,5,06,102573265,3130
2009,2,2,2,56,4,2,43,4,06,140878819,3130
2009,2,1,-1,49,4,2,43,5,06,108561138,3130
2009,2,2,2,61,1,2,44,1,06,110454641,3130
2009,2,2,2,47,1,2,42,1,06,110451369,3130
2009,2,2,2,61,1,2,43,1,06,117494221,3130
2009,2,1,-1,53,1,2,42,1,06,117189715,3130
2009,2,2,2,62,1,2,44,1,06,112111046,3130
2009,2,2,2,46,1,2,45,1,06,111648564,3130
2009,1,1,-1,43,1,2,43,4,06,133507025,3130
2009,2,2,2,51,2,2,44,1,06,82373765,3130
2009,2,1,-1,33,1,2,43,1,06,120655715,3130
2009,2,2,2,57,1,2,44,1,06,117166794,3130
2009,2,2,2,53,1,2,43,1,06,116293288,3130
2009,2,2,2,47,1,2,43,1,06,111648564,3130
2009,2,2,2,50,1,2,42,1,06,117095267,3130
2009,2,2,2,49,1,2,41,3,06,112102136,3130
2009,2,1,-1,29,4,2,43,4,06,106645928,3130
2009,2,2,2,48,1,2,43,1,08,56485940,3130
2009,2,2,2,28,1,2,43,1,08,78437996,3130
2009,2,1,-1,41,1,2,43,1,08,65565720,3130
