year,sex,member,covered,age,age_group,race,hisp,educ,citizen,state,weight
2017,Female,FALSE,FALSE,47,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",AZ,1351.6197399999999
2016,Male,FALSE,FALSE,50,25-54,White,Non-Hispanic,Bachelor's degree,US native,AZ,1420.5262699999998
2016,Female,FALSE,FALSE,46,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",AZ,1613.52667
2017,Female,FALSE,FALSE,45,25-54,Black,Non-Hispanic,Graduate degree,"Foreign-born, citizen",AR,519.08524
2015,Male,FALSE,FALSE,33,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,511.69799
2015,Female,FALSE,FALSE,32,25-54,White,Non-Hispanic,Associate degree,US native,AR,492.83194000000003
2015,Male,FALSE,FALSE,40,25-54,White,Non-Hispanic,Some college,US native,AR,511.90802999999994
2016,Male,FALSE,FALSE,41,25-54,White,Non-Hispanic,Some college,US native,AR,566.29098
2016,Female,TRUE,TRUE,67,55 and over,Black,Non-Hispanic,Bachelor's degree,US native,NY,1277.03184
2014,Male,FALSE,FALSE,43,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1777.6264999999999
2014,Female,FALSE,FALSE,44,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1318.10041
2017,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Associate degree,US native,MO,972.5209500000001
2015,Female,FALSE,FALSE,26,25-54,White,Hispanic,Bachelor's degree,US native,CO,1350.2227699999999
2016,Female,FALSE,FALSE,27,25-54,White,Hispanic,Bachelor's degree,US native,CO,1492.03218
2015,Female,FALSE,FALSE,44,25-54,Black,Non-Hispanic,Associate degree,US native,AL,826.7518400000001
2014,Female,FALSE,FALSE,52,25-54,White,Non-Hispanic,Bachelor's degree,US native,AL,1120.3466700000001
2011,Female,FALSE,FALSE,30,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1026.01006
2012,Female,FALSE,TRUE,31,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1308.5238100000001
2012,Female,FALSE,FALSE,38,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1016.38848
2010,Female,FALSE,FALSE,27,25-54,White,Non-Hispanic,Bachelor's degree,US native,AZ,1703.53295
2013,Female,FALSE,FALSE,43,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",AK,162.52591999999999
2011,Female,FALSE,FALSE,27,25-54,White,Non-Hispanic,Bachelor's degree,US native,TX,1750.03965
2015,Female,FALSE,FALSE,39,25-54,White,Non-Hispanic,Graduate degree,US native,SC,677.3045
2015,Female,FALSE,FALSE,69,55 and over,White,Non-Hispanic,Completed high school,US native,NC,1338.05843
2017,Female,FALSE,FALSE,30,25-54,White,Non-Hispanic,Bachelor's degree,US native,AL,585.0194
2016,Female,FALSE,FALSE,23,16-24,White,Non-Hispanic,Bachelor's degree,US native,AL,853.73272
2016,Male,FALSE,FALSE,62,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AL,722.6322299999999
2015,Male,FALSE,FALSE,61,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AL,521.47158
2015,Male,FALSE,FALSE,41,25-54,White,Non-Hispanic,Bachelor's degree,US native,AL,632.7794200000001
2015,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Bachelor's degree,US native,AL,670.51616
2016,Female,FALSE,FALSE,28,25-54,White,Non-Hispanic,Associate degree,US native,AL,806.32855
2015,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Associate degree,US native,AL,734.2891400000001
2016,Female,FALSE,FALSE,24,16-24,White,Non-Hispanic,Bachelor's degree,US native,AL,759.98275
2015,Female,FALSE,FALSE,23,16-24,White,Non-Hispanic,Bachelor's degree,US native,AL,860.87206
2015,Male,FALSE,FALSE,44,25-54,White,Non-Hispanic,Bachelor's degree,US native,AL,756.7151200000001
2016,Male,TRUE,TRUE,48,25-54,Black,Non-Hispanic,Bachelor's degree,US native,AL,582.24557
2014,Female,FALSE,FALSE,32,25-54,White,Non-Hispanic,Associate degree,US native,AL,697.8952400000001
2015,Female,FALSE,FALSE,40,25-54,White,Non-Hispanic,Some college,US native,AL,833.03474
